Name,Brand,benzyl acetate,benzyl benzoate,xylene,toulene,Asthma_Trigger
Willows Eau de Parfum,Regime des Fleurs,0.14,2.62,25.86,1.79,0
Baraonda Extrait de Parfum,Nasomatto,0.0,0.02,16.25,0.0,0
Don't Cry For Me Eau de Parfum,ALTAIA,2.42,3.24,41.61,2.4,0
Ilm Parfum,Kemi,0.02,0.77,39.05,0.08,0
Vetiver Moloko Eau de Parfum,Ex Nihilo,0.16,2.83,68.1,0.9,1
Fleur Narcotique Eau de Parfum,Ex Nihilo,0.01,0.27,67.99,0.05,1
Royal Mayfair Eau de Parfum,Creed,0.01,2.5,0.65,0.01,0
JF Eau de Toilette,Floris London,0.01,0.01,85.64,0.02,1
Morn To Dusk Eau de Parfum,Eau d'Italie,0.06,0.35,91.17,0.07,1
Marrakech Intense Eau de Toilette,Aesop,0.0,3.86,48.7,0.34,1
Moon Bloom Eau de Parfum,Hiram Green Perfumes,0.0,0.22,78.89,0.01,1
Relique d'Amour Eau de Parfum,Oriza L. Legrand,0.17,0.02,81.18,0.11,1
Palermo Eau de Parfum,BYREDO,0.06,0.14,51.55,0.09,1
Sorriso Eau de Parfum,Profumum,0.01,0.32,9.33,0.04,0
Tam Dao - Eau de Parfum,Diptyque,0.02,0.28,35.57,0.02,0
Eau Duelle - Eau de Parfum,Diptyque,0.0,0.32,44.72,0.27,0
Korrigan Eau de Parfum,Lubin,0.54,0.23,69.58,0.2,1
Bois d'Ascese Eau de Parfum,Naomi Goodsir,0.0,0.21,83.14,0.0,1
Philosykos - Eau de Parfum,Diptyque,0.0,5.06,22.31,0.15,0
1969 Eau de Parfum,Histoires de Parfums,0.0,1.49,67.99,0.12,1
Jardin du Poete Eau de Toilette,Eau d'Italie,0.85,0.13,23.98,5.13,0
Eau Duelle - Eau de Toilette,Diptyque,0.28,0.1,22.02,0.51,0
Tilda Swinton Like This Eau de Parfum,Etat Libre d'Orange,0.13,0.67,25.9,0.3,0
Nio Eau de Parfum,Xerjoff,0.04,4.03,15.52,0.1,0
Philosykos - Eau de Toilette,Diptyque,0.02,0.81,92.3,0.05,1
Jubilation XXV Eau de Parfum,Amouage,0.0,0.08,14.65,0.0,0
L'Air du desert marocain Eau de Toilette ...,Tauer Perfumes,0.08,0.49,71.08,0.32,1
Flaming Dandelion Eau de Parfum,Rook Perfumes,0.35,5.36,43.59,0.6,0
Petra Eau de Parfum,Masque Milano,0.09,1.82,27.04,0.32,0
Amber Aquilaria Parfum,Electimuss,0.09,3.81,75.08,0.16,1
Rhodanthe Eau de Parfum,Electimuss,0.08,0.01,15.74,0.03,0
Trajan Eau de Parfum,Electimuss,0.44,1.71,17.18,0.41,0
Black Caviar Eau de Parfum,Electimuss,0.51,1.08,1.97,8.54,0
Capua Eau de Parfum,Electimuss,0.52,9.62,75.23,3.1,1
Vixere Eau de Parfum,Electimuss,0.17,0.31,51.96,0.06,1
Octavian Parfum,Electimuss,1.84,7.11,48.6,1.63,1
Phtaloblue Eau de Parfum,Tauer Perfumes,4.5,6.78,42.06,3.05,0
Kira Kira Eau de Parfum,Strangers Parfumerie,0.0,0.49,88.59,0.1,1
Iridescent Sky Eau de Parfum,Strangers Parfumerie,0.04,0.55,74.69,0.06,1
Magenta Pop Eau de Parfum,Strangers Parfumerie,0.09,4.43,30.11,0.25,0
Eternal Summer Eau de Parfum,Strangers Parfumerie,0.01,0.22,34.69,0.02,0
Comme Un Carrousel Eau de Parfum,Strangers Parfumerie,0.05,10.81,47.0,0.06,1
Haxan Eau de Parfum,Parfum Prissana,2.54,7.67,76.16,3.12,1
Vivacious Eau de Parfum,Hiram Green Perfumes,2.26,7.81,9.15,2.43,0
Papelato Eau de Parfum,Mad et Len,1.04,29.3,41.08,2.02,1
Lili Laa Eau de Parfum,Mad et Len,0.13,0.7,3.59,1.61,0
Mamok Eau de Parfum,Mad et Len,0.04,1.56,56.55,0.29,1
Aurora Eau de Parfum,Electimuss,0.05,5.04,65.96,0.01,1
Auster Eau de Parfum,Electimuss,0.1,0.09,25.05,0.62,0
Jupiter Eau de Parfum,Electimuss,0.08,2.15,68.91,0.01,1
Sir Winston Attar Perfume Oil,Bortnikoff,0.17,24.32,30.33,0.84,1
Mysterious Oud Attar Perfume Oil,Bortnikoff,0.04,0.99,45.39,0.07,0
Gheorghe Eau de Parfum,Strangers Parfumerie,0.21,1.07,0.04,0.03,0
Scotch Peat Eau de Parfum,Strangers Parfumerie,0.01,1.96,14.29,0.02,0
Eau De Parfum Eau de Parfum,Alguien,0.04,0.11,69.28,0.03,1
Tuberose & Moss Eau de Toilette,Rogue Perfumery,0.01,2.03,77.15,0.0,1
Lipstick Fever Eau de Parfum,Juliette Has a Gun,0.08,7.46,21.53,0.05,0
La Surprise Eau de Parfum,Parfums MDCI,0.0,13.09,68.21,0.0,1
L'Aimee Eau de Parfum,Parfums MDCI,0.0,0.11,24.32,0.03,0
Siberian Rose Eau de Parfum,Fragrance du Bois,0.27,0.15,51.71,0.13,1
Milano Eau de Parfum,Fragrance du Bois,0.01,0.18,83.43,0.0,1
Bohemian Lime Parfum Concentrate,Goldfield & Banks,0.98,11.2,3.68,0.45,0
Cielito Lindo Extrait de Parfum,Rasei Fort,0.07,15.27,18.53,0.22,0
Pure Oud Pure Oud Oil,Fragrance du Bois,2.55,17.27,10.04,3.01,0
Coup de Foudre Eau de Parfum,Bortnikoff,0.13,0.21,93.66,0.14,1
Vesna Cologne Eau de Parfum,Bortnikoff,0.18,3.07,35.53,0.13,0
Moss Cologne Eau de Parfum,Bortnikoff,0.58,3.91,41.99,0.51,0
Golden Dallah Eau de Parfum,Xerjoff,0.0,0.68,77.0,0.12,1
Couleur Vanille Eau de Parfum,L'Artisan Parfumeur,0.05,2.52,59.46,0.46,1
Bat Extrait de Parfum,Zoologist,0.72,15.57,6.14,2.0,0
Sloth Extrait de Parfum,Zoologist,5.63,5.41,31.23,2.54,0
Keman Parfum,Di Ser,0.01,0.56,90.43,0.02,1
Fleurs des Iles Eau de Parfum,Coqui Coqui,0.65,0.2,11.35,0.55,0
9mm Eau de Parfum,Ballistic Therapy,0.02,0.4,38.54,0.0,0
Sayat Nova Extrait de Parfum,Bortnikoff,0.81,16.73,50.36,1.12,1
Accento Overdose Eau de Parfum,Xerjoff,0.01,1.65,84.5,1.77,1
Oud Stars - Alexandria III Parfum,Xerjoff,0.03,29.69,30.95,0.14,1
Atlante Extrait de Parfum,Sarah Baker,0.14,5.42,57.65,0.08,1
Charade Extrait de Parfum,Sarah Baker,0.0,0.04,86.29,0.06,1
Greek Keys Extrait de Parfum,Sarah Baker,4.08,6.98,45.56,2.81,1
Jungle Jezebel Extrait de Parfum,Sarah Baker,1.14,1.85,44.74,0.38,0
Lace Extrait de Parfum,Sarah Baker,0.0,2.41,76.81,0.03,1
Leopard Extrait de Parfum,Sarah Baker,0.05,0.13,65.81,1.13,1
Rules of Attraction Extrait de Parfum,Sarah Baker,0.06,0.15,54.4,0.44,1
Tartan Extrait de Parfum,Sarah Baker,0.01,0.27,15.76,0.61,0
Proxima Eau de Parfum,Centauri Perfumes,0.21,13.8,70.34,0.13,1
New York Intense Eau de Parfum,Fragrance du Bois,0.21,3.94,11.8,0.03,0
New York 5th Avenue Eau de Parfum,Fragrance du Bois,0.0,0.69,31.65,0.02,0
Velvet Amber,Fragrance du Bois,0.68,12.29,24.28,6.7,0
Cannabis Blue Eau de Parfum,Fragrance du Bois,0.0,0.09,8.78,0.0,0
Cannabis Intense Eau de Parfum,Fragrance du Bois,0.06,0.16,9.59,0.3,0
Ishtar Eau de Toilette,Rogue Perfumery,0.04,0.75,4.73,0.36,0
Jasmin Antique Eau de Toilette,Rogue Perfumery,1.09,2.58,42.34,0.2,0
Flos Mortis Eau de Toilette,Rogue Perfumery,0.0,0.09,75.87,0.0,1
Crystal Pistil Eau de Parfum,D.S. and Durga,0.02,2.27,87.33,0.35,1
Oud Du Bois Attar / Perfume Oil,Fragrance du Bois,0.0,1.26,81.25,0.0,1
Areej Attar / Perfume Oil,Fragrance du Bois,0.0,0.01,60.45,0.01,1
Sedley Eau de Parfum,Parfums de Marly,0.03,1.84,19.66,0.5,0
Tigerlust Pure Parfum,Ensar Oud,1.71,11.48,17.85,1.9,0
Naga Layyen Organic Oud Pure Oud,Ensar Oud,0.01,0.06,73.45,0.05,1
People's Kampot Organic Oud Pure Oud,Ensar Oud,0.35,0.88,25.79,0.38,0
Oud Dhul Kifl Organic Oud Pure Oud,Ensar Oud,0.03,0.15,75.76,0.14,1
Satori Fusho Organic Oud,Ensar Oud,0.92,8.83,20.32,0.13,0
Bois de Borneo Oud,Ensar Oud,0.21,0.07,75.0,2.42,1
American Oud,Ensar Oud,0.01,28.75,20.85,0.22,0
Santal d'Assam Perfume oil,Ensar Oud,0.01,1.24,77.16,0.15,1
Bliss du Boche Oud Pure Oud,Ensar Oud,0.37,1.76,78.74,1.67,1
Sultan Musk Attar Perfume Oil,Ensar Oud,0.01,4.38,39.12,0.0,0
Namasoma Organic Oud Pure Oud,Ensar Oud,0.0,0.44,59.2,0.23,1
Spicematic Eau de Parfum,"Pierre Guillaume Paris, Parfumerie Generale",0.79,5.04,47.46,0.9,1
Meet Me On The Corner Eau de Parfum,4160 Tuesdays,0.0,0.12,43.04,0.03,0
Aseel Attar / Perfume Oil,Fragrance du Bois,2.72,2.18,45.45,0.84,0
Arabesque Attar / Perfume Oil,Fragrance du Bois,4.52,19.76,8.05,18.06,0
Mutheer Attar / Perfume Oil,Fragrance du Bois,0.0,0.39,0.74,0.01,0
Rose Du Bois Attar / Perfume Oil,Fragrance du Bois,0.0,0.03,15.8,0.0,0
Aran Parfum,PRIN,0.23,0.71,7.96,0.07,0
Anatolia Parfum,PRIN,0.01,6.28,46.52,0.01,1
Mandodari Parfum,PRIN,0.01,0.57,5.1,0.12,0
Mriga Parfum,PRIN,2.25,6.21,59.38,0.15,1
Vetiver Nocturne Absolu Extrait de Parfum,Bortnikoff,0.0,0.27,82.59,0.17,1
Oud Sinharaja Extrait de Parfum,Bortnikoff,0.19,0.91,78.46,0.91,1
Black Ambergris Parfum Extrait,Anonim,0.02,29.5,8.0,0.42,0
Silver Ambergris Parfum Extrait,Anonim,0.0,1.25,13.92,0.02,0
Golden Ambergris Parfum Extrait,Anonim,0.0,0.0,99.95,0.0,1
Medullary-ray Eau de Parfum,Jorum Studio,0.0,0.15,57.34,0.16,1
Carduus Eau de Parfum,Jorum Studio,0.54,6.52,28.73,7.21,0
Trimerous Eau de Parfum,Jorum Studio,0.07,0.16,58.51,0.01,1
Phloem Eau de Parfum,Jorum Studio,0.0,0.0,85.81,0.0,1
Nectary Eau de Parfum,Jorum Studio,0.65,15.29,3.49,0.18,0
Salam Eau de Parfum,ANFAS,5.69,6.03,9.23,17.53,0
Allegretto 7.2 Eau de Parfum,Berceuse Parfum,0.02,0.84,64.31,0.03,1
Peregrina Extrait de Parfum,Thameen,0.0,0.78,66.11,0.02,1
Cigar Rum Eau de Parfum,Strangers Parfumerie,0.0,0.06,61.69,0.02,1
Peau d'Ambre Eau de Parfum,"Pierre Guillaume Paris, Parfumerie Generale",0.04,0.17,77.7,0.07,1
L'Eau A La Rose Eau de Toilette,Maison Francis Kurkdjian,0.05,9.12,5.67,0.19,0
Rose Prick Eau de Parfum,TOM FORD Private Blend,0.0,0.01,56.14,0.0,1
20 20 Eau de Parfum,J.F. Schwarzlose,0.4,3.88,66.33,2.27,1
Angelys Pear Eau de Toilette,PARFUMS DE NICOLAI,0.18,1.07,72.48,7.5,1
Ligno Extrait de Parfum,Jeroboam,0.03,6.76,12.41,0.48,0
Unnamed Eau de Parfum,BYREDO,0.09,0.71,4.58,0.33,0
Hongkong Oolong Eau de Parfum,NEZ,5.66,1.58,35.02,3.36,0
Salted Green Mango Eau de Parfum,Strangers Parfumerie,0.0,0.5,81.5,0.01,1
SM Cafe Eau de Parfum,Strangers Parfumerie,0.03,0.25,20.53,0.04,0
Aroon Sawat Eau de Parfum,Strangers Parfumerie,0.16,5.25,87.56,0.41,1
Burning Ben Eau de Parfum,Strangers Parfumerie,0.0,0.07,86.86,0.0,1
Cigar Rum Intense Extrait de Parfum,Strangers Parfumerie,0.01,0.1,84.77,0.02,1
Oliver Eau de Parfum,Strangers Parfumerie,0.02,0.68,51.43,0.08,1
Lumberjack Cologne Eau de Parfum,Strangers Parfumerie,0.1,0.71,88.19,0.02,1
Sangre Dulce Eau de Parfum,Strangers Parfumerie,0.27,0.59,32.84,0.06,0
Mandarava Extrait de Parfum,Parfum Prissana,0.0,0.54,48.23,0.26,0
Ma Nishtana Extrait de Parfum,Parfum Prissana,0.15,5.69,9.47,1.67,0
Thichila Eau de Parfum,Parfum Prissana,0.1,0.7,32.35,0.07,0
Mohragot Eau de Parfum,Parfum Prissana,0.07,29.62,25.05,6.78,1
Tiwa Eau de Parfum,Parfum Prissana,0.1,1.84,57.78,0.01,1
Tom Yum Eau de Parfum,Parfum Prissana,0.02,0.13,43.2,0.0,0
Natsumeku Eau de Parfum,Parfum Prissana,0.1,0.72,47.41,1.4,0
Maruyama Eau de Parfum,Parfum Prissana,0.01,3.0,56.76,0.0,1
If by RK Eau de Parfum,Frapin,0.06,0.05,18.73,1.35,0
Musc Moschus Eau De Parfum,Rania J.,0.0,0.02,96.07,0.12,1
War and Peace II Extrait de Parfum,Areej Le Dore,0.02,0.26,93.73,0.19,1
Ummo Eau de Parfum,Xinu,0.0,0.14,85.84,0.06,1
What About Pop Eau de Parfum,The House Of Oud,0.0,0.51,76.24,0.05,1
Dendera Extrait de Parfum,Centauri Perfumes,0.21,0.02,34.62,0.09,0
Gaea Eau de Parfum,Centauri Perfumes,0.04,0.39,60.7,0.02,1
Mile High Eau de Parfum,Parle Moi de Parfum,0.05,1.45,87.65,0.12,1
Milano Cento Deodorant Stick,Milano Cento,0.05,0.21,27.42,0.82,0
Telegrama Eau de Parfum,Imaginary Authors,0.01,1.21,34.54,0.69,0
Koiame Eau de Parfum,J-Scent,0.04,6.12,61.74,0.11,1
Hakka Eau de Parfum,J-Scent,0.16,0.49,80.61,1.74,1
Wood Flake Eau de Parfum,J-Scent,0.03,1.37,82.58,0.02,1
Divine Vanille Eau de Parfum,Essential Parfums,0.42,1.11,45.64,0.66,0
Acqua di Scandola Eau de Parfum,Parfum d'Empire,0.02,0.17,57.53,0.07,1
Bee Extrait de Parfum,Zoologist,0.01,0.23,44.02,0.03,0
Majaina Sin Eau de Parfum,The Different Company,0.76,1.38,12.76,0.28,0
Mxxx. Extrait de Parfum,ERIS Parfums,0.05,0.49,7.11,1.57,0
Meraki Eau de Parfum,Fort & Manle,0.43,0.39,66.58,0.08,1
Lust in Paradise X Reine Paradis Eau de Parfum,Ex Nihilo,0.82,5.79,29.53,2.24,0
Copper Eau de Parfum,Comme des Garcons,0.01,5.52,37.93,0.3,0
Gold Extrait de Parfum,Puredistance,0.02,6.75,33.28,0.22,0
Atlas Fever Eau de Parfum,Ex Nihilo,0.01,0.07,68.74,0.03,1
Re-Charge Black Pepper Deodorant Stick,Molton Brown,0.15,0.28,69.3,0.2,1
Hedonist Absolute Eau de Parfum,Viktoria Minya,0.08,0.03,0.09,0.33,0
Hedonist Iris Absolute Eau de Parfum,Viktoria Minya,0.04,0.03,7.1,0.04,0
Hedonist Rose Absolute Eau de Parfum,Viktoria Minya,0.25,6.12,56.92,2.89,1
Patchouli in Perfumery Magazine,NEZ,0.37,23.21,24.47,0.59,0
Le Pavillon d'Or Eau de Parfum,Dusita,0.16,0.68,83.08,0.71,1
Les Annees 25 Bis Eau de Parfum,Tauer Perfumes,1.26,14.53,10.21,0.4,0
Odeur Du Theatre Du Chatelet Acte 1 Eau de Toilette,Comme des Garcons,0.56,12.03,42.76,0.03,1
Zdravetz Eau de Parfum,Bruno Fazzolari,0.01,0.15,60.77,0.0,1
Corpse Reviver Eau de Parfum,Bruno Fazzolari,0.09,2.31,78.41,0.5,1
Elysium Parfum Cologne,Roja Parfums,0.08,7.15,65.76,1.48,1
Creation-E Parfum Cologne,Roja Parfums,0.01,0.35,84.15,0.03,1
Danger Parfum Cologne,Roja Parfums,0.1,2.39,38.9,0.6,0
Scandal Parfum Cologne,Roja Parfums,0.47,5.23,8.68,15.97,0
Vetiver Parfum Cologne,Roja Parfums,0.02,0.91,48.67,0.04,0
La Capitale Parfum,Xerjoff,0.07,1.87,31.7,0.16,0
SpeM PetraM Eau de Parfum,Olivier Durbano,0.08,0.29,65.2,0.02,1
Oud Maximus Autumn 19 Extrait de Parfum,Bortnikoff,0.0,0.11,93.81,0.01,1
Vetiver Nocturne Autumn 19 Extrait de Parfum,Bortnikoff,0.06,0.24,71.18,0.01,1
Love Mimosa Eau de Parfum,Amouage,0.72,0.15,19.72,0.62,0
Female Christ Eau de Parfum,19-69,0.91,5.48,64.43,0.27,1
Atomic Rose Eau de Parfum,Initio Parfums,1.13,2.78,52.6,2.71,1
Mizunara Eau de Parfum,Parfum Satori,0.12,0.55,80.44,0.08,1
Fall Into Stars Eau de Parfum,Strangelove NYC,0.01,0.0,30.63,0.06,0
Chypre-Siam Eau de Toilette,Rogue Perfumery,4.06,1.1,20.19,0.72,0
Tabac Vert Eau de Toilette,Rogue Perfumery,0.12,3.63,33.16,0.66,0
Mousse Illuminee Eau de Toilette,Rogue Perfumery,0.01,0.33,2.92,0.13,0
40 Rogue Eau de Toilette,Rogue Perfumery,1.29,8.02,58.97,0.74,1
Derviche Eau de Toilette,Rogue Perfumery,0.35,3.67,88.23,0.14,1
Radish x Vetiver Eau de Parfum,Comme des Garcons: Clash,0.04,0.9,55.81,0.01,1
Chlorophyll x Gardenia Eau de Parfum,Comme des Garcons: Clash,0.36,0.11,80.99,0.36,1
Celluloid x Galbanum Eau de Parfum,Comme des Garcons: Clash,0.84,10.15,44.8,0.56,1
Soleil Neige Eau de Parfum,TOM FORD Private Blend,0.0,0.27,91.04,0.04,1
Wonder Of You Eau de Parfum,ALTAIA,0.01,4.95,43.53,0.07,0
Riviera Drive Eau de Parfum,Atelier des Ors,15.71,5.73,19.52,1.28,0
Pomelo Riviera Eau de Parfum,Atelier des Ors,0.0,3.08,88.72,0.0,1
Riviera Lazuli Eau de Parfum,Atelier des Ors,0.03,1.4,90.52,0.0,1
Yoyogi Eau de Toilette,Comme des Garcons x Monocle,0.0,5.81,80.0,0.01,1
Chloe Sevigny Little Flower Eau de Parfum,Regime des Fleurs,0.21,0.22,53.11,0.04,1
Baie 19 Eau de Parfum,Le Labo,0.0,0.02,43.12,0.0,0
Across The Ocean Eau de Parfum,Gravel,0.01,1.27,72.19,0.04,1
Terrible Teddy Eau de Parfum,Penhaligons,0.29,5.9,65.94,9.29,1
Heartless Helen Eau de Parfum,Penhaligons,0.03,0.14,84.18,0.12,1
Plumeria de Orris Extrait de Parfum,Areej Le Dore,0.21,6.88,3.6,3.23,0
Love Kills Eau de Parfum,Masque Milano,0.19,7.61,35.61,1.34,0
Oriental Leather Eau de Parfum,MEMO,0.03,4.11,57.29,0.07,1
Rolling in Love Eau de Parfum,By Kilian,0.25,3.11,25.25,1.12,0
Ambre Khandjar Eau de Parfum,Une Nuit Nomade,0.29,1.0,19.58,0.12,0
Jardins de Misfah Eau de Parfum,Une Nuit Nomade,4.3,6.49,5.03,3.77,0
Suma Oriental Eau de Parfum,Une Nuit Nomade,0.24,0.72,80.64,0.05,1
Mr. Vetiver Eau de Parfum,Une Nuit Nomade,0.0,0.05,90.86,0.01,1
Fleur des Fleurs Eau de Parfum,Une Nuit Nomade,6.56,5.39,14.71,0.3,0
Murmure des Dieux Eau de Parfum,Une Nuit Nomade,0.06,0.61,77.96,0.1,1
Bohemian Soul Eau de Parfum,Une Nuit Nomade,0.0,0.04,94.37,0.01,1
Memory Motel Eau de Parfum,Une Nuit Nomade,0.01,1.28,91.24,0.02,1
Kalan Eau de Parfum,Parfums de Marly,0.33,4.3,66.6,0.04,1
Aventus Cologne Eau de Parfum,Creed,1.7,1.76,0.3,3.77,0
Harem Soiree Parfum,Arte Profumi,1.16,2.46,50.01,0.76,1
Velvet Rouge,Arte Profumi,0.01,0.08,64.03,0.03,1
Bois Sacre Parfum,Arte Profumi,0.0,1.13,86.98,0.05,1
Samharam Parfum,Arte Profumi,0.04,0.11,66.23,0.01,1
Sucre Noir Parfum,Arte Profumi,0.11,0.15,0.68,0.55,0
Oeilleres Parfum Extrait,Roberto Greco,0.39,0.12,17.75,1.31,0
Slow Dance Eau de Parfum,BYREDO,0.04,10.77,13.2,5.66,0
L'Air Des Alpes Suisses Eau de Parfum,Tauer Perfumes,0.0,0.0,99.67,0.0,1
Not A Perfume Superdose Eau de Parfum,Juliette Has a Gun,0.0,0.54,61.47,0.12,1
La Couche du Diable Eau de Parfum,Serge Lutens,0.03,2.39,90.68,0.01,1
Baikal Leather Intense Eau de Parfum,PARFUMS DE NICOLAI,0.18,0.76,18.59,2.72,0
Fucking Fabulous Travel Atomizer Eau de Parfum,TOM FORD Private Blend,0.09,0.04,28.14,4.74,0
Corpi Caldi Eau de Parfum,Profumi del Forte,0.0,0.01,70.24,0.0,1
Elae Eau de Parfum,Cire Trudon,1.39,12.04,1.57,2.94,0
Squid Extrait de Parfum,Zoologist,0.07,1.45,17.25,0.21,0
Sir Winston Extrait de Parfum,Bortnikoff,0.0,0.24,70.46,0.01,1
Symphonie de Neroli Extrait de Parfum,Bortnikoff,0.15,0.8,69.59,0.05,1
Zemfira Extrait de Parfum,Bortnikoff,0.65,5.11,46.69,0.28,1
Los Angeles Eau de Parfum,Gallivant,0.0,0.16,72.19,0.0,1
Keep Glazed Eau de Parfum,The House Of Oud,0.0,0.02,86.05,0.03,1
Ristretto Intense Cafe Extrait de Parfum,Montale,0.04,0.25,80.64,0.06,1
Instant Crush Eau de Parfum,Mancera,1.17,14.67,31.21,1.54,0
Labyrinth Of Spices Extrait de Parfum,Alghabra Parfums,0.0,0.02,93.91,0.0,1
Ottoman Treasure Extrait de Parfum,Alghabra Parfums,0.25,2.51,50.1,0.06,1
Royal Sapphire Extrait de Parfum,Thameen,0.08,0.43,8.12,0.34,0
Kintsugi Eau de Parfum,Masque Milano,0.0,0.41,77.72,0.55,1
Osmanthus Elixir Parfum,Ormonde Jayne,0.0,0.07,94.77,0.0,1
Isfarkand Elixir Parfum,Ormonde Jayne,1.1,2.31,70.65,1.91,1
Ta'if Elixir Parfum,Ormonde Jayne,0.0,0.05,1.16,0.0,0
Royal Elixir Parfum,Ormonde Jayne,0.01,1.48,62.4,0.27,1
Ormonde Elixir Parfum,Ormonde Jayne,0.04,0.66,32.07,0.05,0
Tuscan Leather Travel Atomizer,TOM FORD Private Blend,0.31,3.67,7.13,3.26,0
Noir de Noir Travel Atomizer,TOM FORD Private Blend,0.0,0.25,98.03,0.02,1
Cairo Eau de Parfum,Penhaligons,0.41,7.6,43.83,0.8,1
Neroli Intense Eau de Parfum,PARFUMS DE NICOLAI,0.09,1.49,51.03,0.12,1
Brume du Matin Eau de Parfum,Fragrance du Bois,0.37,0.65,83.06,0.52,1
Cuir de Chine Eau de Parfum,Les Indemodables,0.01,1.7,79.65,0.0,1
Rose Millesimee Extrait de Parfum,Jovoy Paris,0.95,0.51,62.44,1.21,1
Delina Hair Mist,Parfums de Marly,0.02,0.98,49.06,0.01,1
Cuoio Dei Dolci Eau de Parfum,La Via Del Profumo,0.0,6.36,0.28,0.68,0
Notorious Oud Eau de Parfum,D.S. and Durga,0.0,0.0,99.65,0.0,1
Metallique Eau de Parfum,TOM FORD Signature,0.87,3.61,63.08,1.41,1
Fougere Emeraude Eau de Parfum,Les Indemodables,0.0,1.22,78.6,0.02,1
Gentle fluidity Silver Eau de Parfum,Maison Francis Kurkdjian,0.36,0.74,55.02,0.03,1
gentle Fluidity Gold Eau de Parfum,Maison Francis Kurkdjian,0.0,0.4,98.41,0.0,1
Oriental Velours Eau de Parfum,Les Indemodables,0.0,8.74,15.44,0.1,0
Musk Cologne Eau de Parfum,Bortnikoff,0.39,0.53,95.78,0.35,1
Mandarino di Sicilia Eau de Parfum,Perris Monte Carlo,0.13,16.48,34.24,2.25,1
Bergamotto di Calabria Eau de Parfum,Perris Monte Carlo,1.58,8.39,5.23,0.51,0
Arancia di Sicilia Eau de Parfum,Perris Monte Carlo,0.96,2.63,30.69,0.2,0
Soleil d'Italie Eau de Parfum,Mancera,0.25,0.39,64.72,0.06,1
Safran Colognise Extrait de Cologne,Nishane,1.15,0.88,61.87,0.18,1
Le Chant de Camargue Eau de Parfum,L'Artisan Parfumeur,0.32,39.53,2.97,7.37,0
Petales de Cashmere Eau de Parfum,Fragrance du Bois,0.99,1.95,3.19,0.03,0
Tuscan Leather Intense Eau de Parfum,TOM FORD Private Blend,0.05,0.69,57.92,0.01,1
A Man's Cologne Eau de Parfum,Gravel,1.02,4.06,11.85,0.38,0
Villa Nellcote Eau de Parfum,19-69,0.04,29.4,22.42,0.28,1
Portrayal Man Eau de Parfum,Amouage,0.0,0.01,39.54,0.0,0
Portrayal Woman,Amouage,0.08,0.05,58.6,0.04,1
Humus Eau de Parfum,Mad et Len,0.39,1.1,50.46,2.05,1
Musc des Sables Eau de Parfum,Les Indemodables,3.62,0.76,41.55,0.5,0
Iris Perle Eau de Parfum,Les Indemodables,0.0,0.11,99.42,0.0,1
Rose de Jamal Eau de Parfum,Les Indemodables,0.0,0.05,17.76,0.06,0
Pineapple Essenza Eau de Parfum,Panah London,0.01,0.09,2.75,0.03,0
Brandied Pear Eau de Parfum,Panah London,0.0,2.38,25.8,0.06,0
Nefs Extrait de Parfum,Nishane,0.21,0.33,82.83,0.58,1
Megamare Parfum,Orto Parisi,0.1,3.29,75.24,0.38,1
Mahabah Eau de Parfum,ANFAS,0.33,2.85,84.44,0.3,1
Shaghaf Eau de Parfum,ANFAS,0.08,0.85,61.73,0.2,1
Red Ishq Eau de Parfum,ANFAS,0.0,0.12,96.35,0.0,1
Green Gaya Eau de Parfum,ANFAS,0.0,0.09,89.21,0.0,1
Purple Sakan,ANFAS,0.01,2.1,95.08,0.06,1
Gold Watan Eau de Parfum,ANFAS,0.01,1.2,69.17,0.01,1
Rahaba Eau de Parfum,ANFAS,0.31,1.46,85.5,0.01,1
Samaha,ANFAS,0.0,0.02,27.06,0.03,0
Sa'adah Eau de Parfum,ANFAS,0.0,0.0,99.03,0.0,1
Velvet Splendour Perfume Concentrate,Goldfield & Banks,0.07,0.59,31.34,0.01,0
Papyrus Oud Eau de Parfum,Parle Moi de Parfum,0.02,2.59,47.21,0.04,0
Gardens of India Eau de Parfum,Parle Moi de Parfum,12.45,2.9,14.09,3.05,0
Blackpepper Eau de Parfum,Comme des Garcons,0.09,0.15,86.88,0.05,1
Gosha Rubchinskiy Eau de Toilette,Comme des Garcons,0.18,0.58,37.59,0.15,0
Concrete Eau de Parfum,Comme des Garcons,0.01,7.27,60.58,5.4,1
Andy Warhol's You're In Eau de Toilette,Comme des Garcons,1.44,1.99,27.24,10.25,0
Escentric 01 Eau de Toilette,Escentric Molecules,0.03,0.04,14.78,0.05,0
2 Candle,Comme des Garcons,0.0,0.54,47.85,0.01,0
Odeur 53 Eau de Toilette,Comme des Garcons,0.78,1.03,19.92,0.3,0
Odeur 71 Eau de Toilette,Comme des Garcons,0.01,1.86,52.64,0.04,1
2 Eau de Parfum,Comme des Garcons,0.0,0.13,63.23,0.0,1
White Eau de Toilette,Comme des Garcons,0.03,2.06,70.04,0.18,1
2 MAN Eau de Toilette,Comme des Garcons,0.0,0.67,27.05,0.0,0
Original Eau de Parfum,Comme des Garcons,0.09,0.29,92.43,0.04,1
3 Eau de Toilette,Comme des Garcons,0.04,2.22,80.41,1.88,1
Wonderwood Eau de Parfum,Comme des Garcons,0.0,0.73,29.55,0.02,0
